trade_date,ts_code,open,high,low,close,vol
20141229,002736.SZ,7.0,8.4,7.0,8.4,579501
20141230,002736.SZ,9.24,9.24,9.24,9.24,142800
20141231,002736.SZ,10.16,10.16,10.16,10.16,125600
20150105,002736.SZ,11.18,11.18,11.18,11.18,101801
20150106,002736.SZ,12.3,12.3,12.3,12.3,1333350
20150107,002736.SZ,13.53,13.53,13.53,13.53,229300
20150108,002736.SZ,14.88,14.88,14.88,14.88,428553
20150109,002736.SZ,16.37,16.37,16.37,16.37,1058925
20150112,002736.SZ,18.01,18.01,18.01,18.01,2796369
20150113,002736.SZ,19.81,19.81,19.81,19.81,4879090
20150114,002736.SZ,21.79,21.79,21.79,21.79,188753040
20150115,002736.SZ,21.67,23.97,21.11,23.97,746977882
20150116,002736.SZ,23.74,24.92,23.23,23.68,496708569
20150119,002736.SZ,21.6,22.56,21.31,21.31,382508896
20150120,002736.SZ,22.0,23.29,21.66,23.18,445866506
20150121,002736.SZ,23.2,25.2,22.5,24.11,407593624
20150122,002736.SZ,23.71,24.1,23.22,23.85,233886952
20150123,002736.SZ,24.14,24.85,23.21,23.6,255417457
20150126,002736.SZ,23.14,23.29,22.13,22.93,211700740
20150127,002736.SZ,22.8,23.0,21.96,22.21,160641369
20150128,002736.SZ,22.02,22.93,21.9,22.3,141858842
20150129,002736.SZ,21.9,22.45,21.41,21.85,129986435
20150130,002736.SZ,22.02,22.23,21.01,21.09,109974502
20150202,002736.SZ,20.1,20.85,20.08,20.4,92786232
20150203,002736.SZ,20.75,21.56,20.42,21.39,119859414
20150204,002736.SZ,21.35,21.5,20.47,20.5,118096744
20150205,002736.SZ,21.29,21.3,20.28,20.29,104716068
20150206,002736.SZ,20.02,20.58,19.9,20.14,68931184
20150209,002736.SZ,20.0,21.16,19.96,20.78,106778683
20150210,002736.SZ,20.6,20.94,20.3,20.6,86859516
20150211,002736.SZ,20.6,20.93,20.31,20.84,69971188
20150212,002736.SZ,20.8,21.45,20.51,21.26,82523146
20150213,002736.SZ,21.4,21.57,21.09,21.16,88899777
20150216,002736.SZ,21.09,21.2,20.84,21.04,60127240
20150217,002736.SZ,21.12,21.46,21.04,21.14,55028286
20150225,002736.SZ,21.07,21.07,20.46,20.47,52569268
20150226,002736.SZ,20.47,21.45,20.31,21.21,92157321
20150227,002736.SZ,21.09,21.35,21.0,21.07,66958314
20150302,002736.SZ,21.4,21.85,21.18,21.39,97337085
20150303,002736.SZ,21.23,21.24,20.51,20.54,85621088
20150304,002736.SZ,20.49,20.74,20.37,20.56,46186321
20150305,002736.SZ,20.46,20.75,20.35,20.69,53316242
20150306,002736.SZ,20.65,20.92,20.36,20.39,48507215
20150309,002736.SZ,19.99,19.99,19.34,19.79,74872445
20150310,002736.SZ,19.7,20.04,19.5,19.73,50785823
20150311,002736.SZ,19.71,20.0,19.46,19.49,42817566
20150312,002736.SZ,19.57,20.0,19.47,19.85,56571971
20150313,002736.SZ,20.08,20.35,19.83,19.93,47160729
20150316,002736.SZ,20.12,20.96,19.9,20.71,98700211
20150317,002736.SZ,21.1,21.44,20.77,21.24,134899633
20150318,002736.SZ,21.35,21.65,21.35,21.65,113325252
20150319,002736.SZ,21.77,21.77,21.35,21.5,89237606
20150320,002736.SZ,21.55,23.52,21.33,22.61,175145354
20150323,002736.SZ,22.81,22.97,22.42,22.74,115971924
20150324,002736.SZ,22.76,22.76,21.6,22.09,109051844
20150325,002736.SZ,22.09,22.54,21.8,22.14,80163174
20150326,002736.SZ,21.99,22.78,21.8,22.08,86913067
20150327,002736.SZ,22.01,22.39,21.9,22.08,49047768
20150330,002736.SZ,22.2,22.64,21.92,22.41,92245053
20150331,002736.SZ,22.71,23.45,22.1,22.18,122459222
20150401,002736.SZ,22.36,22.75,22.15,22.58,93239395
20150402,002736.SZ,22.88,22.93,22.25,22.56,85862796
20150403,002736.SZ,22.41,24.75,22.36,24.53,241535115
20150407,002736.SZ,24.6,25.73,24.16,25.4,205766939
20150408,002736.SZ,25.45,27.94,25.45,27.94,217369940
20150409,002736.SZ,28.99,30.73,28.5,29.0,284158686
20150410,002736.SZ,29.21,31.9,29.0,31.5,243933226
20150413,002736.SZ,31.0,31.18,29.76,30.53,197386042
20150414,002736.SZ,30.01,30.19,28.91,29.83,144297396
20150415,002736.SZ,29.3,30.15,28.87,28.88,89131693
20150416,002736.SZ,28.1,29.48,28.08,28.88,74988265
20150417,002736.SZ,29.39,30.99,29.17,29.55,111652629
20150429,002736.SZ,29.4,29.47,27.88,28.7,102371182
20150430,002736.SZ,28.82,31.06,28.82,29.2,103291579
20150504,002736.SZ,29.0,30.69,28.78,30.1,101820284
20150505,002736.SZ,30.0,31.0,28.02,28.41,118332163
20150506,002736.SZ,28.56,29.25,27.3,27.65,89480887
20150507,002736.SZ,27.37,28.35,27.35,27.95,69578710
20150508,002736.SZ,28.68,28.77,27.25,28.12,78754711
20150511,002736.SZ,28.3,29.49,27.88,29.37,101113249
20150512,002736.SZ,29.28,30.95,28.71,29.92,118723737
20150513,002736.SZ,29.51,29.89,28.75,29.0,78495369
20150514,002736.SZ,29.05,29.46,28.62,28.88,59867516
20150515,002736.SZ,28.66,28.67,27.56,27.79,73260771
20150518,002736.SZ,27.47,28.24,27.2,27.59,53331797
20150519,002736.SZ,27.54,30.35,27.5,30.04,168160194
20150520,002736.SZ,29.7,29.96,28.79,29.09,134350156
20150521,002736.SZ,29.08,29.69,28.72,29.42,80379068
20150522,002736.SZ,29.85,31.86,29.5,31.48,176043800
20150525,002736.SZ,31.9,34.63,31.9,34.61,246317959
20150526,002736.SZ,33.8,34.94,32.8,34.71,207190508
20150527,002736.SZ,34.3,34.68,33.51,33.79,118950330
20150528,002736.SZ,33.69,34.5,30.44,30.46,145469228
20150529,002736.SZ,30.45,31.37,29.01,29.94,111220464
20150601,002736.SZ,29.99,32.26,29.56,31.6,103334983
20150602,002736.SZ,31.25,31.74,30.51,31.21,83368353
20150603,002736.SZ,31.23,31.82,30.68,30.98,80189572
20150604,002736.SZ,31.0,32.47,29.82,32.2,118048649
20150605,002736.SZ,33.05,33.59,31.11,32.1,121103185
20150608,002736.SZ,32.12,34.1,31.51,33.71,145316728
20150609,002736.SZ,33.82,34.2,32.29,32.67,96619433
20150610,002736.SZ,32.0,32.55,31.69,31.96,73754261
20150611,002736.SZ,31.77,31.96,31.0,31.39,64448287
20150612,002736.SZ,31.42,32.37,31.42,31.68,68498510
20150615,002736.SZ,32.3,32.69,31.73,32.0,98875681
20150616,002736.SZ,31.6,32.58,30.45,30.69,73343537
20150617,002736.SZ,30.69,30.9,29.12,30.35,65880004
20150618,002736.SZ,29.96,30.18,28.58,28.7,48801821
20150619,002736.SZ,28.32,29.24,27.31,27.33,61687165
20150623,002736.SZ,27.51,28.55,26.01,28.49,55447314
20150624,002736.SZ,28.7,28.79,27.8,28.6,54526777
20150625,002736.SZ,28.33,28.97,27.4,27.64,54385991
20150626,002736.SZ,26.94,28.18,24.88,24.95,80956983
20150629,002736.SZ,25.75,25.8,22.46,22.81,100498936
20150630,002736.SZ,22.82,25.09,21.6,25.09,94216721
20150701,002736.SZ,24.93,26.28,24.09,24.3,96862269
20150702,002736.SZ,25.3,25.85,23.03,24.36,85286741
20150703,002736.SZ,24.4,25.21,22.31,23.05,71550472
20150706,002736.SZ,25.36,25.36,23.0,24.43,98787574
20150707,002736.SZ,23.7,24.55,21.99,23.7,139028921
20150708,002736.SZ,21.33,21.8,21.33,21.33,52997964
20150709,002736.SZ,21.0,23.46,19.2,23.46,166905941
20150710,002736.SZ,22.92,25.78,22.2,25.42,184299280
20150713,002736.SZ,24.7,26.6,24.2,25.32,159929425
20150714,002736.SZ,24.48,24.96,23.01,23.4,105234321
20150715,002736.SZ,22.9,23.58,21.06,21.06,84892804
20150716,002736.SZ,21.06,21.79,20.05,21.11,57493251
20150717,002736.SZ,21.4,22.56,21.11,22.18,60835349
20150720,002736.SZ,22.18,22.48,21.41,21.59,59143225
20150721,002736.SZ,21.3,22.4,20.96,21.83,68076432
20150722,002736.SZ,21.59,22.09,21.23,21.54,47126626
20150723,002736.SZ,21.65,22.41,21.62,22.29,72404879
20150724,002736.SZ,22.81,22.99,21.84,21.95,81562273
20150727,002736.SZ,21.4,21.77,19.76,19.76,73069504
20150728,002736.SZ,19.17,21.74,18.21,21.74,148080702
20150729,002736.SZ,22.5,22.78,21.51,22.58,137449103
20150730,002736.SZ,22.1,22.51,21.0,21.06,92647535
20150731,002736.SZ,20.8,22.19,20.63,21.81,92673123
20150803,002736.SZ,21.02,22.78,20.9,22.77,102038900
20150804,002736.SZ,22.59,23.27,21.89,23.04,94799183
20150805,002736.SZ,22.71,22.9,22.11,22.14,54860871
20150806,002736.SZ,21.7,21.99,21.2,21.25,41009821
20150807,002736.SZ,21.52,21.93,21.35,21.56,40227376
20150810,002736.SZ,21.6,23.4,21.4,22.98,82136600
20150811,002736.SZ,22.7,23.03,22.39,22.44,54216984
20150812,002736.SZ,22.1,23.35,22.01,22.46,56479981
20150813,002736.SZ,22.52,23.25,22.28,22.9,47316038
20150814,002736.SZ,23.1,23.32,22.77,22.99,58608902
20150817,002736.SZ,22.92,23.01,22.08,22.47,41713943
20150818,002736.SZ,22.56,23.4,20.24,20.45,85031002
20150819,002736.SZ,19.95,20.74,19.32,20.66,50197515
20150820,002736.SZ,20.32,20.5,19.8,19.8,36290359
20150821,002736.SZ,19.37,19.9,18.1,18.31,37412732
20150824,002736.SZ,17.68,17.68,16.48,16.48,42279487
20150825,002736.SZ,14.88,15.61,14.83,14.88,59417482
20150826,002736.SZ,15.25,15.61,13.88,14.3,63617270
20150827,002736.SZ,14.75,15.2,13.76,15.12,50556256
20150828,002736.SZ,15.3,15.98,15.08,15.74,65223472
20150831,002736.SZ,15.85,15.85,14.42,15.37,56801654
20150901,002736.SZ,15.0,16.22,14.3,16.2,84089129
20150902,002736.SZ,15.5,17.03,15.3,16.93,118543481
20150907,002736.SZ,16.58,17.37,16.18,16.24,39742533
20150908,002736.SZ,15.9,16.6,15.22,16.52,36552936
20150909,002736.SZ,16.45,17.35,16.11,16.79,46621384
20150910,002736.SZ,16.32,16.5,16.0,16.06,24935882
20150911,002736.SZ,16.06,16.29,15.71,15.9,17161901
20150914,002736.SZ,15.9,15.99,14.31,14.5,29630741
20150915,002736.SZ,14.26,14.73,13.77,13.83,23789887
20150916,002736.SZ,13.95,15.2,13.81,14.91,24553054
20150917,002736.SZ,14.75,15.15,14.46,14.46,22986287
20150918,002736.SZ,14.58,14.69,14.36,14.48,12411110
20150921,002736.SZ,14.32,14.93,14.2,14.86,16689140
20150922,002736.SZ,14.94,16.14,14.83,15.55,37794385
20150923,002736.SZ,15.15,15.42,14.94,15.0,21472770
