trade_date,ts_code,open,high,low,close,vol,trend_regime,vol_regime,state,y,hmm_state,hmm_state_label,hmm_p0,hmm_p1,hmm_p2,hmm_p3,hmm_p4
2014-12-29,002736.SZ,7.0,8.4,7.0,8.4,579501,,,,1,,,,,,,
2014-12-30,002736.SZ,9.24,9.24,9.24,9.24,142800,,,,1,,,,,,,
2014-12-31,002736.SZ,10.16,10.16,10.16,10.16,125600,,,,1,,,,,,,
2015-01-05,002736.SZ,11.18,11.18,11.18,11.18,101801,,,,1,,,,,,,
2015-01-06,002736.SZ,12.3,12.3,12.3,12.3,1333350,,,,1,,,,,,,
2015-01-07,002736.SZ,13.53,13.53,13.53,13.53,229300,,,,1,,,,,,,
2015-01-08,002736.SZ,14.88,14.88,14.88,14.88,428553,,,,1,,,,,,,
2015-01-09,002736.SZ,16.37,16.37,16.37,16.37,1058925,,,,1,,,,,,,
2015-01-12,002736.SZ,18.01,18.01,18.01,18.01,2796369,,,,1,,,,,,,
2015-01-13,002736.SZ,19.81,19.81,19.81,19.81,4879090,,,,1,,,,,,,
2015-01-14,002736.SZ,21.79,21.79,21.79,21.79,188753040,,,,1,,,,,,,
2015-01-15,002736.SZ,21.67,23.97,21.11,23.97,746977882,,,,0,,,,,,,
2015-01-16,002736.SZ,23.74,24.92,23.23,23.68,496708569,,,,0,,,,,,,
2015-01-19,002736.SZ,21.6,22.56,21.31,21.31,382508896,,,,1,,,,,,,
2015-01-20,002736.SZ,22.0,23.29,21.66,23.18,445866506,,,,0,,,,,,,
2015-01-21,002736.SZ,23.2,25.2,22.5,24.11,407593624,,,,0,,,,,,,
2015-01-22,002736.SZ,23.71,24.1,23.22,23.85,233886952,,,,0,,,,,,,
2015-01-23,002736.SZ,24.14,24.85,23.21,23.6,255417457,,,,0,,,,,,,
2015-01-26,002736.SZ,23.14,23.29,22.13,22.93,211700740,,,,0,,,,,,,
2015-01-27,002736.SZ,22.8,23.0,21.96,22.21,160641369,,,,0,,,,,,,
2015-01-28,002736.SZ,22.02,22.93,21.9,22.3,141858842,,,,0,2.0,S5,0.0,0.0,1.0,0.0,0.0
2015-01-29,002736.SZ,21.9,22.45,21.41,21.85,129986435,,,,0,2.0,S5,8.40324197e-316,3.1072335551516493e-105,1.0,0.0,0.0
2015-01-30,002736.SZ,22.02,22.23,21.01,21.09,109974502,,,,0,2.0,S5,1.1745912576303313e-291,1.0106739064572121e-93,1.0,0.0,0.0
2015-02-02,002736.SZ,20.1,20.85,20.08,20.4,92786232,,,,1,2.0,S5,1.2908290553444893e-290,3.0993606884273875e-84,1.0,0.0,0.0
2015-02-03,002736.SZ,20.75,21.56,20.42,21.39,119859414,,,,0,2.0,S5,1.4250083843341323e-254,1.0633150014454364e-62,1.0,0.0,0.0
2015-02-04,002736.SZ,21.35,21.5,20.47,20.5,118096744,,,,1,2.0,S5,2.1711359578118747e-253,2.9919389741824215e-60,1.0,0.0,0.0
2015-02-05,002736.SZ,21.29,21.3,20.28,20.29,104716068,,,,1,2.0,S5,7.873875987210541e-250,1.8144763006934927e-50,1.0,0.0,0.0
2015-02-06,002736.SZ,20.02,20.58,19.9,20.14,68931184,,,,1,2.0,S5,1.031250690660229e-247,1.1925672146042817e-45,1.0,0.0,0.0
2015-02-09,002736.SZ,20.0,21.16,19.96,20.78,106778683,,,,1,2.0,S5,4.529736689329362e-219,2.6227261927465736e-37,1.0,0.0,0.0
2015-02-10,002736.SZ,20.6,20.94,20.3,20.6,86859516,,,,1,2.0,S5,1.807686762895522e-201,1.8456296251707183e-35,1.0,0.0,0.0
2015-02-11,002736.SZ,20.6,20.93,20.31,20.84,69971188,,,,0,2.0,S5,1.1886714665765994e-174,8.408864328358736e-31,1.0,0.0,4.283015707e-315
2015-02-12,002736.SZ,20.8,21.45,20.51,21.26,82523146,,,,0,2.0,S5,8.214019442079562e-141,1.2091142880149526e-24,1.0,0.0,1.4510005401254817e-248
2015-02-13,002736.SZ,21.4,21.57,21.09,21.16,88899777,,,,0,2.0,S5,3.4253035879859936e-121,1.7724059326462316e-21,1.0,0.0,5.787713870767978e-212
2015-02-16,002736.SZ,21.09,21.2,20.84,21.04,60127240,,,,1,2.0,S5,7.217918976650608e-103,1.0692960528364135e-18,1.0,1.6314984373931435e-307,1.291165246939098e-177
2015-02-17,002736.SZ,21.12,21.46,21.04,21.14,55028286,,,,0,2.0,S5,2.1707693076418677e-86,1.2055980698312239e-15,1.0,4.815020727988979e-256,3.862963589759628e-146
2015-02-25,002736.SZ,21.07,21.07,20.46,20.47,52569268,,,,1,2.0,S5,3.122832474209856e-84,4.336818483873795e-15,1.0,8.635490765608125e-267,2.1091291044940145e-150
2015-02-26,002736.SZ,20.47,21.45,20.31,21.21,92157321,,,,0,2.0,S5,6.095768542142071e-69,2.3906172714653915e-10,0.9999999997617124,1.989988115123959e-201,6.049203217534856e-114
2015-02-27,002736.SZ,21.09,21.35,21.0,21.07,66958314,,,,0,2.0,S5,1.5238211476746675e-59,1.1122741605544794e-08,0.9999999888768798,3.101276173938888e-196,2.465689855461792e-100
2015-03-02,002736.SZ,21.4,21.85,21.18,21.39,97337085,,,,0,2.0,S5,1.1751427667354628e-48,1.5118225856853904e-06,0.9999984881772038,3.205282430645544e-157,4.01409384425605e-77
2015-03-03,002736.SZ,21.23,21.24,20.51,20.54,85621088,,,,0,2.0,S5,6.916731125800793e-51,2.3876175476329814e-07,0.9999997612376604,1.259647280148271e-178,5.499124663165818e-87
2015-03-04,002736.SZ,20.49,20.74,20.37,20.56,46186321,,,,0,2.0,S5,5.367701383554174e-49,3.5917304780625386e-06,0.9999964082699918,1.4525504616176761e-158,3.2385722116641634e-82
2015-03-05,002736.SZ,20.46,20.75,20.35,20.69,53316242,,,,0,2.0,S5,1.1098501465020784e-45,6.887165135604642e-06,0.9999931128350696,1.0851861490873207e-146,1.0367875080954553e-76
2015-03-06,002736.SZ,20.65,20.92,20.36,20.39,48507215,,,,0,2.0,S5,7.45654384341904e-44,8.927108179134388e-06,0.9999910728909637,1.03782710118656e-146,1.1109653364355757e-77
2015-03-09,002736.SZ,19.99,19.99,19.34,19.79,74872445,,,,1,2.0,S5,1.5055395477629302e-46,2.6418511858418393e-06,0.9999973581487547,9.021723966527864e-155,1.288755744056194e-87
2015-03-10,002736.SZ,19.7,20.04,19.5,19.73,50785823,,,,1,2.0,S5,1.299198814982994e-45,1.624239515434421e-05,0.9999837576042734,1.450995462090969e-139,1.371802628569251e-84
2015-03-11,002736.SZ,19.71,20.0,19.46,19.49,42817566,,,,1,2.0,S5,1.172104672860558e-45,0.00022477865756343566,0.9997752213428794,1.2015373059195071e-135,2.3515884637470735e-84
2015-03-12,002736.SZ,19.57,20.0,19.47,19.85,56571971,,,,1,2.0,S5,2.629938076907674e-39,0.010771847890255593,0.9892281521102498,1.338421582824645e-108,4.98818476802501e-69
2015-03-13,002736.SZ,20.08,20.35,19.83,19.93,47160729,,,,1,2.0,S5,1.3310660726223545e-31,0.1746450927131467,0.8253549072863681,6.366998850513745e-92,2.4456454135729684e-55
2015-03-16,002736.SZ,20.12,20.96,19.9,20.71,98700211,,,,1,1.0,S5,5.588184772198633e-20,0.7103129924771304,0.289687007522376,1.6518459059134923e-55,1.449545288382885e-29
2015-03-17,002736.SZ,21.1,21.44,20.77,21.24,134899633,,,,1,1.0,S5,5.868113951758867e-10,0.9891917712545557,0.010808228150388868,5.008116918242508e-32,8.316293832153227e-12
2015-03-18,002736.SZ,21.35,21.65,21.35,21.65,113325252,,,,1,1.0,S5,0.0006271035002862519,0.9990427440610558,0.00016205429174268035,1.3443372454010728e-15,0.00016809814647885892
2015-03-19,002736.SZ,21.77,21.77,21.35,21.5,89237606,,,,1,1.0,S5,0.009805259133684097,0.9901782853146657,3.014233163931517e-06,1.1565991423809697e-12,1.344131772080492e-05
2015-03-20,002736.SZ,21.55,23.52,21.33,22.61,175145354,,,,0,1.0,S5,0.013393709738381346,0.9865634901472444,4.279974471090048e-05,3.689260220585101e-10,1.6278726436501782e-19
2015-03-23,002736.SZ,22.81,22.97,22.42,22.74,115971924,,,,0,1.0,S5,0.004680348643852003,0.9953047449275065,1.4906428786721965e-05,1.357085320082552e-16,4.24200855809938e-34
2015-03-24,002736.SZ,22.76,22.76,21.6,22.09,109051844,,,,1,1.0,S5,0.0013400014372200576,0.9986412787996246,1.87197639742546e-05,1.342117288659655e-18,3.4211508704300475e-34
2015-03-25,002736.SZ,22.09,22.54,21.8,22.14,80163174,,,,1,1.0,S5,0.0006429852437485537,0.999351119343124,5.895414024124289e-06,6.622536940072855e-15,1.0121511739069711e-30
2015-03-26,002736.SZ,21.99,22.78,21.8,22.08,86913067,,,,1,1.0,S5,0.00027480943413497877,0.9997223032228655,2.887342624122493e-06,1.665365158770484e-14,1.8358946660750095e-26
2015-03-27,002736.SZ,22.01,22.39,21.9,22.08,49047768,,,,1,1.0,S5,7.814153616395316e-05,0.9999196206318414,2.237832175177692e-06,3.515704362525762e-14,2.493227244390251e-22
2015-03-30,002736.SZ,22.2,22.64,21.92,22.41,92245053,,,,1,1.0,S5,1.5676219982320934e-05,0.9999811955771288,3.1282026661048696e-06,1.6985238682487292e-14,9.646819421139473e-23
2015-03-31,002736.SZ,22.71,23.45,22.1,22.18,122459222,,,,1,1.0,S5,3.4393123520068743e-06,0.9999912289043041,5.331782575663456e-06,8.050230828077306e-17,1.4980951794536994e-20
2015-04-01,002736.SZ,22.36,22.75,22.15,22.58,93239395,,,,1,1.0,S5,1.7537077894424202e-06,0.9997658099364872,0.0002324363565317048,3.7670082835688824e-15,2.553091622129818e-21
2015-04-02,002736.SZ,22.88,22.93,22.25,22.56,85862796,,,,1,1.0,S5,2.8731774255068648e-05,0.9847917345593137,0.015179533666531688,8.685164014952318e-17,3.4639594195973615e-22
2015-04-03,002736.SZ,22.41,24.75,22.36,24.53,241535115,,,,1,2.0,S5,1.3628344786172294e-07,0.12174472964200862,0.8782551340753404,8.954731587385155e-26,1.5952267622604546e-54
2015-04-07,002736.SZ,24.6,25.73,24.16,25.4,205766939,,,,1,2.0,S5,4.7276442427414876e-12,0.039670996161435365,0.9603290038343896,1.173546586320492e-45,1.1303220301476327e-102
2015-04-08,002736.SZ,25.45,27.94,25.45,27.94,217369940,,,,1,2.0,S5,1.1002085210806186e-44,6.776454893200622e-10,0.999999999321517,5.720780013765715e-155,3.268000741982542e-277
2015-04-09,002736.SZ,28.99,30.73,28.5,29.0,284158686,,,,0,2.0,S5,4.672514025692666e-81,2.374576753283141e-15,1.0,6.32643533302413e-275,0.0
2015-04-10,002736.SZ,29.21,31.9,29.0,31.5,243933226,,,,0,2.0,S5,7.099899265472291e-163,3.3287909101472015e-29,1.0,0.0,0.0
2015-04-13,002736.SZ,31.0,31.18,29.76,30.53,197386042,,,,0,2.0,S5,1.2473276177854207e-174,3.9313872296365916e-30,1.0,0.0,0.0
2015-04-14,002736.SZ,30.01,30.19,28.91,29.83,144297396,,,,0,2.0,S5,2.0630661323093822e-154,2.2743393276883076e-27,1.0,0.0,0.0
2015-04-15,002736.SZ,29.3,30.15,28.87,28.88,89131693,,,,1,2.0,S5,7.668948177492753e-113,3.3409735634578433e-22,1.0,0.0,0.0
2015-04-16,002736.SZ,28.1,29.48,28.08,28.88,74988265,,,,0,2.0,S5,1.0885542076990424e-85,3.600593415046254e-18,1.0,9.844966177732963e-247,0.0
2015-04-17,002736.SZ,29.39,30.99,29.17,29.55,111652629,,,,0,2.0,S5,2.4343946540435797e-73,6.497276454509273e-17,1.0,3.174843956275231e-187,0.0
2015-04-29,002736.SZ,29.4,29.47,27.88,28.7,102371182,,,,0,2.0,S5,6.773165426583178e-65,1.491335515784139e-18,1.0,1.8210004521425192e-137,6.672505777647362e-249
2015-04-30,002736.SZ,28.82,31.06,28.82,29.2,103291579,,,,0,2.0,S5,2.3570400321736272e-66,3.2238971778315196e-18,1.0,3.505220241515902e-111,1.24944333209219e-198
2015-05-04,002736.SZ,29.0,30.69,28.78,30.1,101820284,,,,0,2.0,S5,1.6146350165175403e-63,4.5370306856021934e-18,1.0,1.0243037638338663e-103,4.802294347203322e-180
2015-05-05,002736.SZ,30.0,31.0,28.02,28.41,118332163,,,,1,2.0,S5,3.321681311791811e-68,1.3814714194579536e-22,1.0,4.701251012001849e-121,1.6444892389625504e-137
2015-05-06,002736.SZ,28.56,29.25,27.3,27.65,89480887,,,,1,2.0,S5,1.671844918712037e-84,6.375808776046102e-23,1.0,3.7054898681689305e-135,5.42582335551202e-116
2015-05-07,002736.SZ,27.37,28.35,27.35,27.95,69578710,,,,1,2.0,S5,9.133347186645635e-94,2.5467045254718755e-22,1.0,6.327829139925623e-150,5.4237181537992366e-114
2015-05-08,002736.SZ,28.68,28.77,27.25,28.12,78754711,,,,0,2.0,S5,6.997532444314172e-95,5.844964136279391e-22,1.0,9.226751696960901e-175,3.063514747652949e-121
2015-05-11,002736.SZ,28.3,29.49,27.88,29.37,101113249,,,,0,2.0,S5,4.864088525070987e-72,4.624588225502157e-16,1.0,4.746632000112872e-142,2.7751011069460574e-95
2015-05-12,002736.SZ,29.28,30.95,28.71,29.92,118723737,,,,1,2.0,S5,1.2017231249430935e-48,4.0990733338694474e-11,0.9999999999581632,6.886487400596266e-119,1.6661379744403236e-68
2015-05-13,002736.SZ,29.51,29.89,28.75,29.0,78495369,,,,1,2.0,S5,4.757878413435023e-46,1.5439077338104887e-09,0.999999998455678,2.0979583049937126e-141,2.72090134069142e-66
2015-05-14,002736.SZ,29.05,29.46,28.62,28.88,59867516,,,,1,2.0,S5,6.694594075757681e-45,1.7827841449775642e-07,0.9999998217208644,1.0959720016626797e-135,5.0375439611430934e-64
2015-05-15,002736.SZ,28.66,28.67,27.56,27.79,73260771,,,,1,2.0,S5,8.26701567493016e-62,9.4130238993019e-10,0.9999999990595825,2.0767634617261962e-196,8.697879242891272e-103
2015-05-18,002736.SZ,27.47,28.24,27.2,27.59,53331797,,,,1,2.0,S5,1.3177977803256705e-69,1.1499063269895963e-09,0.9999999988503987,6.890734010116012e-207,3.810560724980662e-122
2015-05-19,002736.SZ,27.54,30.35,27.5,30.04,168160194,,,,1,2.0,S5,3.3829391605649485e-48,5.746834154432248e-09,0.9999999942538125,4.091350636282482e-122,1.9496473674713457e-68
2015-05-20,002736.SZ,29.7,29.96,28.79,29.09,134350156,,,,1,2.0,S5,4.626479518508766e-41,1.5910455221703896e-06,0.9999984089548813,9.761865393366124e-140,1.8679394006426277e-64
2015-05-21,002736.SZ,29.08,29.69,28.72,29.42,80379068,,,,1,2.0,S5,6.751676084768254e-33,4.716824188970798e-05,0.9999528317577269,6.251061409608815e-100,3.633487410652319e-43
2015-05-22,002736.SZ,29.85,31.86,29.5,31.48,176043800,,,,0,2.0,S5,3.691762256819212e-17,1.9943120563249768e-05,0.9999800568790818,3.551719305505152e-38,6.831425001960122e-19
2015-05-25,002736.SZ,31.9,34.63,31.9,34.61,246317959,,,,0,2.0,S5,9.956904882149784e-14,7.721034867053134e-09,0.99999999227839,6.354389578457252e-33,1.0541928471075833e-79
2015-05-26,002736.SZ,33.8,34.94,32.8,34.71,207190508,,,,0,2.0,S5,1.1333230084408161e-24,4.1303035703470316e-08,0.9999999586962085,1.5411200124036655e-75,7.438835079328859e-168
