证券代码,交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
"600999-SHE","2026-03-06","15.92","16.15","15.9","16.12","25764337","413347320",
"600999-SHE","2026-03-05","16.08","16.08","15.95","15.97","32427198","519050363",
"600999-SHE","2026-03-04","16.2","16.23","15.8","15.95","66152978","1057398230",
"600999-SHE","2026-03-03","16.48","16.6","16.3","16.34","51337358","843989640",
"600999-SHE","2026-03-02","16.46","16.53","16.29","16.47","49940078","820371523",
"600999-SHE","2026-02-27","16.58","16.69","16.54","16.6","37627963","624600520",
"600999-SHE","2026-02-26","16.78","16.8","16.56","16.6","51149559","851248804",
"600999-SHE","2026-02-25","16.82","17.06","16.7","16.74","82473208","1390648010",
"600999-SHE","2026-02-24","16.93","16.93","16.78","16.79","31910574","537082210",
"600999-SHE","2026-02-13","16.93","17.05","16.8","16.81","34790888","588383200",
"600999-SHE","2026-02-12","17.15","17.18","16.9","16.93","43579804","740450330",
"600999-SHE","2026-02-11","17.22","17.27","17.13","17.18","29371290","504926191",
"600999-SHE","2026-02-10","17.17","17.3","17.1","17.24","38530924","664909772",
"600999-SHE","2026-02-09","17","17.25","16.93","17.17","44351730","758338484",
"600999-SHE","2026-02-06","16.9","16.98","16.83","16.87","32164091","543619301",
"600999-SHE","2026-02-05","16.85","17.08","16.81","17","46432805","786782810",
"600999-SHE","2026-02-04","16.65","16.91","16.61","16.87","52235394","876477684",
"600999-SHE","2026-02-03","16.95","16.99","16.57","16.69","61967941","1035303092",
"600999-SHE","2026-02-02","17.07","17.34","16.83","16.85","63920730","1092662079",
"600999-SHE","2026-01-30","17.2","17.35","16.94","17.11","62786520","1074909059",
"600999-SHE","2026-01-29","17.09","17.32","16.82","17.27","84241169","1435264605",
"600999-SHE","2026-01-28","16.99","17.34","16.96","17.11","104132062","1791941650",
"600999-SHE","2026-01-27","17","17.15","16.86","16.93","63834728","1087461923",
"600999-SHE","2026-01-26","16.71","17.12","16.71","17.04","94651846","1605951666",
"600999-SHE","2026-01-23","16.86","16.87","16.7","16.72","49738866","833777095",
"600999-SHE","2026-01-22","16.76","16.96","16.75","16.8","37149811","625266063",
"600999-SHE","2026-01-21","16.85","16.89","16.72","16.75","40483360","680399332",
"600999-SHE","2026-01-20","16.76","16.94","16.75","16.91","38535496","649565646",
"600999-SHE","2026-01-19","16.83","16.88","16.7","16.78","39552317","663886381",
"600999-SHE","2026-01-16","17.11","17.14","16.8","16.82","52607510","889721150",
"600999-SHE","2026-01-15","17.2","17.33","16.96","17.02","58516434","1000365069",
"600999-SHE","2026-01-14","17.29","17.69","17.21","17.29","104241824","1818056405",
"600999-SHE","2026-01-13","17.41","17.67","17.26","17.32","66053466","1152432219",
"600999-SHE","2026-01-12","17.25","17.38","17.12","17.35","68409000","1180632560",
"600999-SHE","2026-01-09","17.14","17.27","17.1","17.22","61551937","1057424285",
