trade_date,ts_code,open,high,low,close,vol
20201102,601995.SH,34.54,41.44,34.54,37.7,128229918
20201103,601995.SH,38.41,41.47,38.41,41.47,88929090
20201104,601995.SH,41.55,45.38,40.66,44.3,107506308
20201105,601995.SH,44.37,48.18,43.02,47.2,103743458
20201106,601995.SH,48.15,51.92,47.38,51.92,81665756
20201109,601995.SH,54.0,57.11,51.36,57.11,60169196
20201110,601995.SH,59.0,62.82,58.5,60.11,94085665
20201111,601995.SH,58.8,61.19,55.16,59.6,95439044
20201112,601995.SH,58.17,58.17,54.88,56.22,66992174
20201113,601995.SH,55.01,59.5,54.54,57.2,67153813
20201116,601995.SH,56.8,60.6,55.71,60.38,73701491
20201117,601995.SH,59.33,61.57,58.38,58.93,65070350
20201118,601995.SH,58.58,61.5,58.58,60.0,62028050
20201119,601995.SH,58.8,59.0,55.55,57.13,63103803
20201120,601995.SH,56.55,59.31,55.68,58.36,48822059
20201123,601995.SH,58.3,64.2,57.7,62.0,85773115
20201124,601995.SH,61.18,63.08,60.8,62.75,60919948
20201125,601995.SH,63.1,63.78,60.18,60.18,46383279
20201126,601995.SH,59.56,62.79,59.18,62.2,49269304
20201127,601995.SH,61.49,62.96,59.5,62.95,54134012
20201130,601995.SH,63.88,69.25,62.96,65.19,98332620
20201201,601995.SH,63.9,71.4,63.3,68.02,77050640
20201202,601995.SH,67.01,71.0,66.51,68.0,65180946
20201203,601995.SH,67.0,67.97,65.65,65.98,42472076
20201204,601995.SH,64.86,65.2,62.86,63.7,38765332
20201207,601995.SH,63.12,64.5,63.12,63.45,24212722
20201208,601995.SH,62.9,64.5,62.9,63.75,23395373
20201209,601995.SH,63.76,64.16,59.56,60.65,37908543
20201210,601995.SH,59.67,61.38,59.13,60.2,28469702
20201211,601995.SH,60.55,60.7,59.76,60.49,21504646
20201214,601995.SH,60.03,60.29,58.13,59.45,25727832
20201215,601995.SH,59.0,62.28,58.5,61.5,32106226
20201216,601995.SH,61.2,61.39,59.75,60.01,24620809
20201217,601995.SH,59.81,65.68,59.75,64.95,59163704
20201218,601995.SH,63.89,64.78,63.12,63.35,34974047
20201221,601995.SH,62.99,65.98,62.32,64.95,38011622
20201222,601995.SH,64.4,68.0,63.3,63.4,48997723
20201223,601995.SH,63.8,66.93,63.48,65.83,44603955
20201224,601995.SH,65.78,67.76,65.08,65.5,36135440
20201225,601995.SH,65.1,67.59,63.85,66.57,37352705
20201228,601995.SH,66.15,68.37,65.56,67.43,33721425
20201229,601995.SH,67.99,70.97,67.51,68.14,43450115
20201230,601995.SH,67.2,70.58,65.66,70.2,47202137
20201231,601995.SH,71.02,76.76,70.3,75.27,54770372
20210104,601995.SH,76.7,77.69,72.9,74.85,53531386
20210105,601995.SH,73.9,75.93,71.03,72.8,53489902
20210106,601995.SH,72.78,74.25,71.52,72.31,36119061
20210107,601995.SH,71.8,73.29,70.7,72.95,37058863
20210108,601995.SH,72.4,73.3,71.17,71.18,26053312
20210111,601995.SH,71.18,71.78,67.71,68.01,35033053
20210112,601995.SH,67.4,74.58,67.35,73.61,53030573
20210113,601995.SH,72.8,73.9,70.0,70.27,39848031
20210114,601995.SH,70.01,70.19,67.48,67.49,27964317
20210115,601995.SH,67.52,69.5,67.52,68.05,21306910
20210118,601995.SH,67.45,69.87,66.8,68.05,21037890
20210119,601995.SH,67.8,71.35,67.1,69.68,33019434
20210120,601995.SH,69.15,70.98,68.8,69.49,22415136
20210121,601995.SH,70.58,72.36,69.6,71.15,33682526
20210122,601995.SH,70.49,70.49,68.01,68.75,27795738
20210125,601995.SH,68.2,69.45,67.39,68.0,21290686
20210126,601995.SH,67.4,67.52,64.49,64.53,27893536
20210127,601995.SH,64.72,65.27,64.0,64.5,15017289
20210128,601995.SH,63.51,65.64,62.05,64.05,18548850
20210129,601995.SH,64.7,64.79,60.35,61.01,22171879
20210201,601995.SH,61.96,62.16,60.6,60.92,14175662
20210202,601995.SH,61.26,61.66,59.5,61.57,19540490
20210203,601995.SH,61.01,61.41,59.59,59.62,16701777
20210204,601995.SH,59.0,60.49,56.22,59.68,27694772
20210205,601995.SH,59.0,62.27,58.71,60.5,25246344
20210208,601995.SH,60.5,63.88,59.5,63.12,28452210
20210209,601995.SH,62.66,64.76,62.08,63.13,24711243
20210210,601995.SH,62.7,63.68,62.11,62.57,19683078
20210218,601995.SH,63.58,64.2,62.56,62.78,19664696
20210219,601995.SH,62.3,62.3,60.0,62.19,19280224
20210222,601995.SH,62.25,62.99,60.0,60.05,18957409
20210223,601995.SH,58.95,60.5,58.66,59.65,13197100
20210224,601995.SH,59.4,60.8,58.8,59.29,13474944
20210225,601995.SH,59.66,60.32,58.16,59.49,13339867
20210226,601995.SH,58.0,58.5,56.4,57.8,19887668
20210301,601995.SH,57.6,58.2,56.9,58.2,11590459
20210302,601995.SH,58.05,58.43,56.91,56.92,11382541
20210303,601995.SH,56.56,57.86,56.26,57.64,11648463
20210304,601995.SH,57.0,57.1,53.88,54.4,18398540
20210305,601995.SH,53.19,55.8,53.01,55.12,15044846
20210308,601995.SH,55.3,55.6,50.28,51.28,19915057
20210309,601995.SH,51.0,51.18,47.9,47.99,23911203
20210310,601995.SH,48.69,49.04,47.97,48.04,13411122
20210311,601995.SH,47.81,49.91,47.79,49.15,17247114
20210312,601995.SH,49.09,50.62,48.02,49.52,21523569
20210315,601995.SH,48.25,48.78,47.01,47.1,14816202
20210316,601995.SH,47.43,48.22,47.12,47.62,10656098
20210317,601995.SH,47.24,48.21,47.21,47.8,10785392
20210318,601995.SH,47.9,49.8,47.9,48.95,20666327
20210319,601995.SH,48.05,48.86,48.02,48.7,12998799
20210322,601995.SH,49.38,50.88,48.77,50.46,21364691
