trade_date,ts_code,open,high,low,close,vol,trend_regime,vol_regime,state,y,hmm_state,hmm_state_label,hmm_p0,hmm_p1,hmm_p2,hmm_p3,hmm_p4
2020-11-02,601995.SH,34.54,41.44,34.54,37.7,128229918,UNK,V2,S5,1,,,,,,,
2020-11-03,601995.SH,38.41,41.47,38.41,41.47,88929090,UNK,V2,S5,1,,,,,,,
2020-11-04,601995.SH,41.55,45.38,40.66,44.3,107506308,UNK,V3,S5,1,,,,,,,
2020-11-05,601995.SH,44.37,48.18,43.02,47.2,103743458,UNK,V3,S5,1,,,,,,,
2020-11-06,601995.SH,48.15,51.92,47.38,51.92,81665756,UNK,V3,S5,1,,,,,,,
2020-11-09,601995.SH,54.0,57.11,51.36,57.11,60169196,UNK,V3,S5,1,,,,,,,
2020-11-10,601995.SH,59.0,62.82,58.5,60.11,94085665,UNK,V3,S5,0,,,,,,,
2020-11-11,601995.SH,58.8,61.19,55.16,59.6,95439044,UNK,V4,S5,1,,,,,,,
2020-11-12,601995.SH,58.17,58.17,54.88,56.22,66992174,UNK,V4,S5,1,,,,,,,
2020-11-13,601995.SH,55.01,59.5,54.54,57.2,67153813,UNK,V4,S5,1,,,,,,,
2020-11-16,601995.SH,56.8,60.6,55.71,60.38,73701491,UNK,V4,S5,1,,,,,,,
2020-11-17,601995.SH,59.33,61.57,58.38,58.93,65070350,UNK,V4,S5,1,,,,,,,
2020-11-18,601995.SH,58.58,61.5,58.58,60.0,62028050,UNK,V4,S5,1,,,,,,,
2020-11-19,601995.SH,58.8,59.0,55.55,57.13,63103803,UNK,V4,S5,1,,,,,,,
2020-11-20,601995.SH,56.55,59.31,55.68,58.36,48822059,UNK,V4,S5,1,,,,,,,
2020-11-23,601995.SH,58.3,64.2,57.7,62.0,85773115,UNK,V4,S5,1,,,,,,,
2020-11-24,601995.SH,61.18,63.08,60.8,62.75,60919948,UNK,V3,S5,1,,,,,,,
2020-11-25,601995.SH,63.1,63.78,60.18,60.18,46383279,UNK,V4,S5,1,,,,,,,
2020-11-26,601995.SH,59.56,62.79,59.18,62.2,49269304,UNK,V4,S5,1,,,,,,,
2020-11-27,601995.SH,61.49,62.96,59.5,62.95,54134012,UNK,V4,S5,1,,,,,,,
2020-11-30,601995.SH,63.88,69.25,62.96,65.19,98332620,UNK,V4,S5,0,2.0,S5,0.0,0.0,1.0,0.0,0.0
2020-12-01,601995.SH,63.9,71.4,63.3,68.02,77050640,UNK,V4,S5,0,2.0,S5,6.44e-321,3.611518019881829e-59,1.0,6.53996768035857e-31,3.1492002782350487e-52
2020-12-02,601995.SH,67.01,71.0,66.51,68.0,65180946,UNK,V3,S5,0,2.0,S5,9.284724210204124e-171,6.581341064410818e-69,1.0,1.1810551273410074e-28,1.1978394397033605e-51
2020-12-03,601995.SH,67.0,67.97,65.65,65.98,42472076,UNK,V4,S5,0,2.0,S5,1.0693440328930596e-163,3.598096823028958e-76,1.0,5.316616452799903e-34,7.981967815439237e-55
2020-12-04,601995.SH,64.86,65.2,62.86,63.7,38765332,UNK,V4,S5,0,2.0,S5,1.0743110426847242e-154,7.463798051899395e-79,1.0,2.6759617938634014e-40,7.37836648302068e-58
2020-12-07,601995.SH,63.12,64.5,63.12,63.45,24212722,UNK,V3,S5,0,2.0,S5,1.3303201386547897e-151,6.3784166187022755e-80,1.0,1.5327084861109793e-44,3.138638395547838e-63
2020-12-08,601995.SH,62.9,64.5,62.9,63.75,23395373,UNK,V4,S5,0,2.0,S5,1.0238139399295815e-167,3.1891842952304713e-91,1.0,2.390641575913979e-48,1.334393927943948e-70
2020-12-09,601995.SH,63.76,64.16,59.56,60.65,37908543,UNK,V4,S5,0,2.0,S5,5.4364831702380186e-198,2.13819383590768e-102,1.0,1.5607115389998564e-58,3.604819666152132e-86
2020-12-10,601995.SH,59.67,61.38,59.13,60.2,28469702,UNK,V3,S5,1,2.0,S5,8.133352010625862e-208,1.0962987502611656e-100,1.0,1.6201433490457564e-64,8.829401063588736e-92
2020-12-11,601995.SH,60.55,60.7,59.76,60.49,21504646,UNK,V4,S5,1,2.0,S5,2.4394693497514117e-214,4.883157159503961e-102,1.0,7.862858195598728e-67,1.1609889865330421e-97
2020-12-14,601995.SH,60.03,60.29,58.13,59.45,25727832,UNK,V4,S5,1,2.0,S5,2.3475655149738236e-215,4.32989975531073e-95,1.0,3.912275162240016e-68,3.981837414750828e-104
2020-12-15,601995.SH,59.0,62.28,58.5,61.5,32106226,UNK,V4,S5,1,2.0,S5,4.423104268835432e-198,1.2155190978696738e-86,1.0,5.58328017334941e-61,1.4282090009454761e-93
2020-12-16,601995.SH,61.2,61.39,59.75,60.01,24620809,UNK,V3,S5,1,2.0,S5,2.2596352982818805e-178,2.320655757879104e-73,1.0,1.054581810251679e-57,4.415079385539164e-95
2020-12-17,601995.SH,59.81,65.68,59.75,64.95,59163704,UNK,V4,S5,1,2.0,S5,7.753607129229097e-142,1.7430800458941586e-56,1.0,2.7763127130491646e-43,9.261045658893645e-66
2020-12-18,601995.SH,63.89,64.78,63.12,63.35,34974047,UNK,V3,S5,1,2.0,S5,9.696005799335887e-111,4.657222694738137e-50,1.0,5.727891073788534e-35,3.7157917188357785e-54
2020-12-21,601995.SH,62.99,65.98,62.32,64.95,38011622,UNK,V4,S5,1,2.0,S5,1.068257297974134e-88,1.5577568994236525e-42,1.0,1.6409552766442567e-26,1.5211615506596438e-40
2020-12-22,601995.SH,64.4,68.0,63.3,63.4,48997723,UNK,V4,S5,1,2.0,S5,4.488599311624171e-75,1.5885294889616e-38,1.0,1.960501153967504e-25,3.550803980759374e-35
2020-12-23,601995.SH,63.8,66.93,63.48,65.83,44603955,UNK,V4,S5,1,2.0,S5,6.243475864931591e-59,7.936629879546663e-31,1.0,2.367700456307369e-20,1.720053104103515e-24
2020-12-24,601995.SH,65.78,67.76,65.08,65.5,36135440,UNK,V3,S5,1,2.0,S5,3.699871869200391e-51,4.3549919250502086e-29,1.0,7.925953327515113e-18,9.818255948435646e-19
2020-12-25,601995.SH,65.1,67.59,63.85,66.57,37352705,UNK,V4,S5,1,2.0,S5,1.2262752644628214e-42,2.8725481304718452e-24,1.0,8.404375411019859e-15,1.557437720749342e-13
2020-12-28,601995.SH,66.15,68.37,65.56,67.43,33721425,UNK,V4,S5,1,2.0,S5,7.411503568827216e-38,3.2843084314347596e-22,0.9999999999527063,2.9311820206945104e-12,4.420512974290769e-11
2020-12-29,601995.SH,67.99,70.97,67.51,68.14,43450115,UNK,V4,S5,1,2.0,S5,1.3251737290615013e-34,2.0123778015674284e-19,0.9999999988503987,1.043111442657777e-10,1.045259234146924e-09
2020-12-30,601995.SH,67.2,70.58,65.66,70.2,47202137,UNK,V4,S5,1,2.0,S5,1.9162208148778393e-32,2.244853005994971e-17,0.9999999679334911,2.8861490076266764e-08,3.2050612555553538e-09
2020-12-31,601995.SH,71.02,76.76,70.3,75.27,54770372,UNK,V3,S5,0,2.0,S5,6.1200698403223e-44,2.5170407751868325e-15,0.9999998642474658,1.357524710580349e-07,4.690829887688448e-16
2021-01-04,601995.SH,76.7,77.69,72.9,74.85,53531386,UNK,V3,S5,0,2.0,S5,1.1416481657446577e-71,1.2583267856933581e-20,0.9999989139293106,1.0860708831132564e-06,2.5482069704220332e-20
2021-01-05,601995.SH,73.9,75.93,71.03,72.8,53489902,UNK,V4,S5,1,2.0,S5,7.664270579690468e-73,2.1135855009783316e-21,0.9999999285782931,7.142191564460569e-08,1.9661275845507294e-22
2021-01-06,601995.SH,72.78,74.25,71.52,72.31,36119061,UNK,V3,S5,0,2.0,S5,4.545802493993318e-66,6.401239016454504e-21,0.9999999943447619,5.65521831108069e-09,2.1914256076104453e-22
2021-01-07,601995.SH,71.8,73.29,70.7,72.95,37058863,UNK,V4,S5,0,2.0,S5,3.388926520192609e-63,3.285442176679205e-22,0.9999999997166924,2.833157998096741e-10,4.255388847449638e-23
2021-01-08,601995.SH,72.4,73.3,71.17,71.18,26053312,UNK,V4,S5,0,2.0,S5,5.472570239681839e-67,8.310110119144593e-29,0.9999999999931788,6.8987974569195425e-12,6.013079853905486e-26
2021-01-11,601995.SH,71.18,71.78,67.71,68.01,35033053,UNK,V3,S5,1,2.0,S5,5.450520107635814e-61,9.773540567280466e-29,1.0,1.898050601529537e-17,2.1212830261261897e-25
2021-01-12,601995.SH,67.4,74.58,67.35,73.61,53030573,UNK,V3,S5,0,2.0,S5,1.874729904087553e-45,1.8170808179516695e-24,1.0,1.669873242828747e-17,2.048914158869073e-24
2021-01-13,601995.SH,72.8,73.9,70.0,70.27,39848031,UNK,V3,S5,0,2.0,S5,5.769382504786409e-63,2.8072311462463653e-35,1.0,6.026562209719504e-17,3.528878966218505e-30
2021-01-14,601995.SH,70.01,70.19,67.48,67.49,27964317,UNK,V3,S5,1,2.0,S5,4.3141767095003566e-63,4.872673491245467e-38,1.0,1.9145044483055878e-22,4.4495460852378017e-36
2021-01-15,601995.SH,67.52,69.5,67.52,68.05,21306910,UNK,V3,S5,1,2.0,S5,2.1954359311644222e-60,5.587266540654554e-37,1.0,7.147286495946877e-26,4.287050005357405e-38
2021-01-18,601995.SH,67.45,69.87,66.8,68.05,21037890,UNK,V4,S5,0,2.0,S5,1.5189608796421275e-60,4.3411853814640727e-35,1.0,6.04022641154972e-27,5.812356901154609e-38
2021-01-19,601995.SH,67.8,71.35,67.1,69.68,33019434,UNK,V4,S5,0,2.0,S5,1.2179890563855445e-55,5.346264454194483e-31,1.0,6.395035738884109e-24,1.8229916072198925e-32
2021-01-20,601995.SH,69.15,70.98,68.8,69.49,22415136,UNK,V4,S5,0,2.0,S5,4.4511756649317906e-48,1.8645331878405563e-26,1.0,1.425844010442664e-20,5.492723204725902e-27
2021-01-21,601995.SH,70.58,72.36,69.6,71.15,33682526,UNK,V4,S5,0,2.0,S5,1.3056945824104165e-41,1.399759970147835e-25,1.0,8.212187731954777e-16,2.1415861721575256e-23
2021-01-22,601995.SH,70.49,70.49,68.01,68.75,27795738,UNK,V4,S5,0,2.0,S5,7.189924334715666e-42,1.1838200932513301e-26,1.0,1.347736792114114e-16,1.1505446381505314e-25
2021-01-25,601995.SH,68.2,69.45,67.39,68.0,21290686,UNK,V3,S5,0,2.0,S5,9.37391348120803e-49,2.5219304635274212e-33,1.0,1.002132998976048e-16,1.4220047248043541e-32
2021-01-26,601995.SH,67.4,67.52,64.49,64.53,27893536,UNK,V4,S5,0,2.0,S5,9.96363376648535e-63,3.0727334910096824e-39,1.0,6.984468864834231e-25,1.4473144255029083e-43
2021-01-27,601995.SH,64.72,65.27,64.0,64.5,15017289,UNK,V3,S5,0,2.0,S5,1.2218536818279275e-70,4.1022634774503434e-41,1.0,1.5990729833576548e-28,6.0654746177000235e-46
2021-01-28,601995.SH,63.51,65.64,62.05,64.05,18548850,UNK,V4,S5,0,2.0,S5,4.532091746202772e-81,1.1796461218773622e-50,1.0,4.5919928498811846e-32,3.5840304054449546e-56
2021-01-29,601995.SH,64.7,64.79,60.35,61.01,22171879,UNK,V4,S5,0,2.0,S5,1.7918809869182842e-94,8.301627089806662e-51,1.0,2.651393279032177e-41,7.952134129611614e-64
2021-02-01,601995.SH,61.96,62.16,60.6,60.92,14175662,UNK,V3,S5,1,2.0,S5,6.696594387052317e-91,3.7788245975719325e-41,1.0,1.6138083573482428e-45,3.766207312473867e-57
2021-02-02,601995.SH,61.26,61.66,59.5,61.57,19540490,UNK,V4,S5,1,2.0,S5,6.361183660282066e-78,2.5537762974396408e-33,1.0,2.52388319039093e-44,6.681707987424201e-48
2021-02-03,601995.SH,61.01,61.41,59.59,59.62,16701777,UNK,V4,S5,1,2.0,S5,9.593907274811354e-72,4.366336272692471e-26,1.0,6.632476957276806e-46,1.0866473722206371e-41
2021-02-04,601995.SH,59.0,60.49,56.22,59.68,27694772,UNK,V3,S5,1,2.0,S5,4.6616192190226276e-61,1.8349612018888224e-18,1.0,6.740533311325953e-45,1.5913921749923622e-31
2021-02-05,601995.SH,59.0,62.27,58.71,60.5,25246344,UNK,V4,S5,1,2.0,S5,1.6836971081317008e-45,3.5645068644364745e-13,0.9999999999995453,1.914394948046631e-39,3.790127669775923e-23
2021-02-08,601995.SH,60.5,63.88,59.5,63.12,28452210,UNK,V4,S5,0,2.0,S5,7.391526850090278e-30,5.928859546462929e-09,0.9999999940705493,2.8113763297154117e-29,3.7338255274766133e-13
2021-02-09,601995.SH,62.66,64.76,62.08,63.13,24711243,UNK,V3,S5,0,2.0,S5,4.8545230508628486e-18,2.9278491903814576e-05,0.9999701348313943,6.540258548541006e-18,5.866767755928266e-07
2021-02-10,601995.SH,62.7,63.68,62.11,62.57,19683078,T4,V4,S4,0,2.0,S5,9.050981298750234e-10,0.009340837714852494,0.9906374140740877,1.1738329023803955e-13,2.1747305943224087e-05
2021-02-18,601995.SH,63.58,64.2,62.56,62.78,19664696,T4,V4,S4,0,2.0,S5,1.0910529721380362e-06,0.1693633940327432,0.8306252936875654,4.99877220563368e-12,1.0221221518733162e-05
