trade_date,ts_code,open,high,low,close,vol,trend_regime,vol_regime,state,hmm_state,hmm_state_label,hmm_p0,hmm_p1,hmm_p2,hmm_p3,hmm_p4
2020-01-02,000001.SZ,16.65,16.95,16.55,16.87,1530231.87,UNK,V2,S5,,,,,,,
2020-01-03,000001.SZ,16.94,17.31,16.92,17.18,1116194.81,UNK,V2,S5,,,,,,,
2020-01-06,000001.SZ,17.01,17.34,16.91,17.07,862083.5,UNK,V4,S5,,,,,,,
2020-01-07,000001.SZ,17.13,17.28,16.95,17.15,728607.56,UNK,V4,S5,,,,,,,
2020-01-08,000001.SZ,17.0,17.05,16.63,16.66,847824.12,UNK,V4,S5,,,,,,,
2020-01-09,000001.SZ,16.81,16.93,16.53,16.79,1031636.65,UNK,V3,S5,,,,,,,
2020-01-10,000001.SZ,16.79,16.81,16.52,16.69,585548.45,UNK,V4,S5,,,,,,,
2020-01-13,000001.SZ,16.75,17.03,16.61,16.99,872133.36,UNK,V4,S5,,,,,,,
2020-01-14,000001.SZ,16.99,17.27,16.76,16.76,1304493.66,UNK,V3,S5,,,,,,,
2020-01-15,000001.SZ,16.79,16.86,16.45,16.52,859439.12,UNK,V4,S5,,,,,,,
2020-01-16,000001.SZ,16.52,16.57,16.2,16.33,1028104.67,UNK,V3,S5,,,,,,,
2020-01-17,000001.SZ,16.38,16.55,16.35,16.39,605436.69,UNK,V4,S5,,,,,,,
2020-01-20,000001.SZ,16.43,16.61,16.35,16.45,746074.75,UNK,V1,S5,,,,,,,
2020-01-21,000001.SZ,16.34,16.34,15.93,16.0,896603.1,UNK,V1,S5,,,,,,,
2020-01-22,000001.SZ,15.92,16.16,15.71,16.09,719464.91,UNK,V3,S5,,,,,,,
2020-01-23,000001.SZ,15.92,15.92,15.39,15.54,1100592.07,UNK,V4,S5,,,,,,,
2020-02-03,000001.SZ,13.99,14.7,13.99,13.99,2259194.83,UNK,V3,S5,,,,,,,
2020-02-04,000001.SZ,14.05,14.66,14.02,14.6,1706172.07,UNK,V3,S5,,,,,,,
2020-02-05,000001.SZ,14.59,14.89,14.32,14.63,1491380.21,UNK,V4,S5,,,,,,,
2020-02-06,000001.SZ,14.81,14.87,14.510000000000002,14.77,1185815.72,UNK,V1,S5,,,,,,,
2020-02-07,000001.SZ,14.6,14.689999999999998,14.41,14.62,924852.96,UNK,V3,S5,2.0,S5,0.0,0.0,1.0,0.0,0.0
2020-02-10,000001.SZ,14.510000000000002,14.53,14.3,14.499999999999998,1339495.24,UNK,V3,S5,2.0,S5,0.0,2.1648566847198114e-207,1.0,0.0,4.445144097765269e-17
2020-02-11,000001.SZ,14.6,14.94,14.56,14.79,1407507.44,UNK,V4,S5,2.0,S5,1.509643802151149e-182,2.571550738727563e-65,1.0,0.0,1.509451031305318e-17
