t_index,ts_code,close,open,high,low,state,trend_regime,vol_regime,y,y_hat
49,000001.SZ,12.23,12.68,12.74,11.910000000000002,S5,UNK,V3,1,0.4879503
50,000001.SZ,12.52,12.4,12.68,12.26,S5,UNK,V4,1,0.48795027
51,000001.SZ,12.15,12.0,12.35,11.93,S5,UNK,V4,1,0.48795027
52,000001.SZ,12.61,12.4,12.68,12.27,S5,UNK,V3,1,0.4879503
53,000001.SZ,12.87,12.88,13.07,12.7,S5,UNK,V3,1,0.48795027
54,000001.SZ,13.06,12.78,13.34,12.720000000000002,S5,UNK,V4,0,0.4879503
55,000001.SZ,13.15,13.25,13.38,13.08,S5,UNK,V4,0,0.48795027
56,000001.SZ,12.94,12.85,13.04,12.76,S5,UNK,V4,0,0.48795027
57,000001.SZ,12.8,13.05,13.089999999999998,12.78,S5,UNK,V3,0,0.48795027
58,000001.SZ,12.89,12.86,13.13,12.82,S5,UNK,V4,0,0.48795027
59,000001.SZ,12.97,12.75,12.97,12.66,S5,UNK,V4,0,0.48795027
60,000001.SZ,12.61,12.82,12.89,12.55,S5,UNK,V4,0,0.48795027
61,000001.SZ,12.88,12.89,12.94,12.81,S5,UNK,V3,0,0.49656233
62,000001.SZ,12.78,12.88,12.92,12.720000000000002,S5,UNK,V4,1,0.50491226
63,000001.SZ,12.74,12.88,12.89,12.720000000000002,S5,UNK,V4,0,0.51113665
64,000001.SZ,12.79,12.76,12.98,12.65,S5,UNK,V1,1,0.5098172
65,000001.SZ,12.59,12.67,12.71,12.47,S5,UNK,V3,1,0.50745803
66,000001.SZ,12.86,12.65,12.86,12.57,S5,UNK,V3,1,0.50456154
67,000001.SZ,12.87,12.86,12.93,12.78,S5,UNK,V3,1,0.5014088
68,000001.SZ,12.68,12.79,12.79,12.54,S5,UNK,V1,1,0.49798268
69,000001.SZ,12.89,12.77,13.04,12.65,S5,UNK,V3,1,0.494476
70,000001.SZ,12.99,12.86,13.05,12.77,S5,UNK,V3,1,0.4907325
71,000001.SZ,13.45,13.3,13.7,13.3,S5,UNK,V4,1,0.49073255
72,000001.SZ,13.23,13.37,13.42,13.16,S5,UNK,V3,1,0.49073255
73,000001.SZ,13.23,13.23,13.310000000000002,13.11,S5,UNK,V4,1,0.49073255
74,000001.SZ,13.24,13.17,13.279999999999998,13.11,S5,UNK,V1,1,0.49073255
75,000001.SZ,13.500000000000002,13.3,13.64,13.25,S5,UNK,V3,1,0.49073252
