trade_date,ts_code,open,high,low,close,vol
2020-01-02,000001.SZ,16.65,16.95,16.55,16.87,1530231.87
2020-01-03,000001.SZ,16.94,17.31,16.92,17.18,1116194.81
2020-01-06,000001.SZ,17.01,17.34,16.91,17.07,862083.5
2020-01-07,000001.SZ,17.13,17.28,16.95,17.15,728607.56
2020-01-08,000001.SZ,17.0,17.05,16.63,16.66,847824.12
2020-01-09,000001.SZ,16.81,16.93,16.53,16.79,1031636.65
2020-01-10,000001.SZ,16.79,16.81,16.52,16.69,585548.45
2020-01-13,000001.SZ,16.75,17.03,16.61,16.99,872133.36
2020-01-14,000001.SZ,16.99,17.27,16.76,16.76,1304493.66
2020-01-15,000001.SZ,16.79,16.86,16.45,16.52,859439.12
2020-01-16,000001.SZ,16.52,16.57,16.2,16.33,1028104.67
2020-01-17,000001.SZ,16.38,16.55,16.35,16.39,605436.69
2020-01-20,000001.SZ,16.43,16.61,16.35,16.45,746074.75
2020-01-21,000001.SZ,16.34,16.34,15.93,16.0,896603.1
2020-01-22,000001.SZ,15.92,16.16,15.709999999999999,16.09,719464.91
2020-01-23,000001.SZ,15.92,15.92,15.39,15.54,1100592.07
2020-02-03,000001.SZ,13.99,14.700000000000001,13.99,13.99,2259194.83
2020-02-04,000001.SZ,14.05,14.66,14.02,14.6,1706172.07
2020-02-05,000001.SZ,14.59,14.89,14.32,14.63,1491380.21
2020-02-06,000001.SZ,14.81,14.87,14.510000000000002,14.77,1185815.72
2020-02-07,000001.SZ,14.6,14.689999999999998,14.41,14.62,924852.96
2020-02-10,000001.SZ,14.510000000000002,14.53,14.299999999999999,14.499999999999998,1339495.24
2020-02-11,000001.SZ,14.6,14.94,14.56,14.79,1407507.44
2020-02-12,000001.SZ,14.79,14.82,14.6,14.77,1070503.21
2020-02-13,000001.SZ,14.709999999999999,14.88,14.61,14.65,1013205.28
2020-02-14,000001.SZ,14.75,15.14,14.700000000000001,15.03,1512434.73
2020-02-17,000001.SZ,15.04,15.37,14.93,15.37,1543696.01
2020-02-18,000001.SZ,15.33,15.33,15.01,15.2,973612.35
2020-02-19,000001.SZ,15.100000000000001,15.37,15.08,15.24,874106.93
2020-02-20,000001.SZ,15.27,15.62,15.100000000000001,15.59,1235444.34
2020-02-21,000001.SZ,15.489999999999998,15.720000000000002,15.45,15.58,995071.02
2020-02-24,000001.SZ,15.46,15.46,15.15,15.23,1191794.5
2020-02-25,000001.SZ,15.0,15.13,14.78,15.04,1144575.02
2020-02-26,000001.SZ,14.77,15.27,14.700000000000001,14.99,1176599.15
2020-02-27,000001.SZ,14.96,15.15,14.89,15.11,975270.9
2020-02-28,000001.SZ,14.85,15.04,14.46,14.499999999999998,1300644.45
2020-03-02,000001.SZ,14.55,14.95,14.46,14.79,1116580.66
2020-03-03,000001.SZ,14.96,14.99,14.63,14.720000000000002,1153584.32
2020-03-04,000001.SZ,14.68,14.78,14.510000000000002,14.689999999999998,862595.23
2020-03-05,000001.SZ,14.8,15.64,14.73,15.39,2686602.34
2020-03-06,000001.SZ,15.18,15.27,15.02,15.03,1228531.03
2020-03-09,000001.SZ,14.709999999999999,14.73,14.42,14.45,1665793.54
2020-03-10,000001.SZ,14.38,14.85,14.38,14.76,1167864.97
2020-03-11,000001.SZ,14.77,14.88,14.62,14.689999999999998,814381.64
2020-03-12,000001.SZ,14.65,14.84,14.53,14.68,986497.11
2020-03-13,000001.SZ,13.899999999999999,14.58,13.899999999999999,14.52,1169765.8
2020-03-16,000001.SZ,14.45,14.46,13.75,13.75,1406202.18
2020-03-17,000001.SZ,13.75,13.97,13.13,13.41,1177849.06
2020-03-18,000001.SZ,13.41,13.55,12.65,12.709999999999999,1384784.37
2020-03-19,000001.SZ,12.68,12.74,11.910000000000002,12.23,1891457.13
2020-03-20,000001.SZ,12.4,12.68,12.26,12.52,1578352.96
2020-03-23,000001.SZ,12.0,12.35,11.93,12.15,1071113.64
2020-03-24,000001.SZ,12.4,12.68,12.27,12.61,1180200.26
2020-03-25,000001.SZ,12.88,13.07,12.700000000000001,12.87,1136957.74
2020-03-26,000001.SZ,12.78,13.34,12.720000000000002,13.06,1075192.43
2020-03-27,000001.SZ,13.25,13.38,13.08,13.15,653018.88
2020-03-30,000001.SZ,12.85,13.04,12.76,12.94,661738.79
2020-03-31,000001.SZ,13.05,13.089999999999998,12.78,12.8,513370.3
2020-04-01,000001.SZ,12.86,13.13,12.82,12.89,520836.04
2020-04-02,000001.SZ,12.75,12.97,12.66,12.97,518365.04
2020-04-03,000001.SZ,12.82,12.89,12.55,12.61,825348.14
2020-04-07,000001.SZ,12.89,12.94,12.81,12.88,870313.71
2020-04-08,000001.SZ,12.88,12.92,12.720000000000002,12.78,528716.14
2020-04-09,000001.SZ,12.88,12.89,12.720000000000002,12.74,408553.77
