trade_date,ts_code,open,high,low,close,vol
2022-10-10,001330.SZ,9.41,9.55,8.77,8.84,381581.44
2022-10-11,001330.SZ,8.85,9.0,8.6,8.67,212808.78
2022-10-12,001330.SZ,8.61,8.96,8.53,8.92,271698.87
2022-10-13,001330.SZ,8.82,9.02,8.8,8.85,199017.48
2022-10-14,001330.SZ,8.85,9.06,8.84,8.99,231263.67
2022-10-17,001330.SZ,8.91,9.1,8.89,9.07,194537.84
2022-10-18,001330.SZ,9.08,9.28,9.03,9.07,250209.29
2022-10-19,001330.SZ,9.01,9.25,8.92,8.98,236468.66
2022-10-20,001330.SZ,8.89,9.41,8.8,9.15,288881.82
2022-10-21,001330.SZ,9.1,9.13,8.78,8.82,208121.27
2022-10-24,001330.SZ,8.85,8.93,8.5,8.56,180832.6
2022-10-25,001330.SZ,8.51,8.58,8.32,8.52,141681.41
2022-10-26,001330.SZ,8.55,9.06,8.5,8.85,219212.26
2022-10-27,001330.SZ,8.84,9.17,8.76,8.93,202303.23
2022-10-28,001330.SZ,8.9,8.9,8.53,8.6,142084.92
2022-10-31,001330.SZ,8.36,8.72,8.33,8.5,112964.85
2022-11-01,001330.SZ,8.53,9.35,8.45,9.35,425165.09
2022-11-02,001330.SZ,9.35,10.25,9.21,9.64,733004.13
2022-11-03,001330.SZ,9.45,9.83,9.41,9.69,331350.32
2022-11-04,001330.SZ,9.65,10.45,9.65,10.1,440309.22
2022-11-07,001330.SZ,9.94,10.29,9.88,10.16,313151.76
2022-11-08,001330.SZ,10.2,10.45,9.96,10.17,263035.01
2022-11-09,001330.SZ,10.08,10.66,10.03,10.39,363245.32
2022-11-10,001330.SZ,10.27,10.66,10.26,10.49,224728.43
2022-11-11,001330.SZ,10.69,11.25,10.49,10.98,538293.96
2022-11-14,001330.SZ,10.78,11.18,10.54,10.63,367773.31
2022-11-15,001330.SZ,10.63,11.05,10.53,10.9,250669.33
2022-11-16,001330.SZ,10.92,11.25,10.82,10.9,227384.01
2022-11-17,001330.SZ,10.73,11.57,10.63,11.5,389789.22
2022-11-18,001330.SZ,11.4,11.44,10.86,10.92,311841.08
2022-11-21,001330.SZ,10.64,10.65,10.22,10.37,255469.24
2022-11-22,001330.SZ,10.45,10.46,10.08,10.17,153758.83
2022-11-23,001330.SZ,10.16,10.58,10.07,10.16,232698.93
2022-11-24,001330.SZ,10.16,10.29,9.92,9.96,164320.86
2022-11-25,001330.SZ,9.99,10.06,9.83,9.89,125394.18
2022-11-28,001330.SZ,9.7,10.48,9.5,10.34,266710.64
2022-11-29,001330.SZ,10.29,10.94,10.21,10.77,339980.11
2022-11-30,001330.SZ,10.62,10.73,10.35,10.52,224149.29
2022-12-01,001330.SZ,10.93,11.08,10.41,10.7,450140.71
2022-12-02,001330.SZ,10.59,11.0,10.56,10.75,303023.22
2022-12-05,001330.SZ,11.0,11.3,10.8,10.94,467837.96
2022-12-06,001330.SZ,10.96,11.89,10.91,11.26,627473.8
2022-12-07,001330.SZ,11.23,12.39,11.08,11.95,949753.94
2022-12-08,001330.SZ,11.9,12.55,11.78,12.5,828566.92
2022-12-09,001330.SZ,12.49,12.5,11.85,12.1,536409.53
2022-12-12,001330.SZ,11.82,12.05,11.63,11.65,419933.3
2022-12-13,001330.SZ,11.69,12.33,11.6,11.89,575696.29
2022-12-14,001330.SZ,11.61,12.29,11.6,12.09,426970.05
2022-12-15,001330.SZ,11.99,11.99,11.27,11.38,431969.88
2022-12-16,001330.SZ,11.31,11.58,11.15,11.45,232640.81
2022-12-19,001330.SZ,11.09,11.14,10.58,10.65,323038.03
2022-12-20,001330.SZ,10.68,10.74,10.29,10.38,183935.64
2022-12-21,001330.SZ,10.43,11.42,10.37,11.42,410349.71
2022-12-22,001330.SZ,11.5,11.76,11.16,11.37,400777.34
2022-12-23,001330.SZ,11.22,11.63,11.1,11.21,283792.89
2022-12-26,001330.SZ,11.33,11.72,11.18,11.52,307452.17
2022-12-27,001330.SZ,11.6,12.09,11.12,11.95,444873.77
2022-12-28,001330.SZ,11.73,12.15,11.6,11.85,332154.15
2022-12-29,001330.SZ,11.7,11.86,11.46,11.49,228344.3
2022-12-30,001330.SZ,11.55,12.2,11.41,11.98,353214.85
2023-01-03,001330.SZ,12.23,12.37,11.91,12.06,448480.03
2023-01-04,001330.SZ,11.99,12.2,11.77,12.09,316520.14
2023-01-05,001330.SZ,11.97,12.06,11.65,11.99,320314.44
2023-01-06,001330.SZ,11.88,11.88,11.15,11.15,409479.07
2023-01-09,001330.SZ,11.25,12.27,11.2,12.27,568195.26
2023-01-10,001330.SZ,12.58,12.73,12.13,12.35,558333.46
2023-01-11,001330.SZ,12.4,12.44,11.98,12.07,311498.16
2023-01-12,001330.SZ,12.06,12.08,11.61,11.84,289225.92
2023-01-13,001330.SZ,11.87,12.07,11.56,11.95,346221.31
2023-01-16,001330.SZ,12.25,12.34,11.85,12.2,375126.95
2023-01-17,001330.SZ,12.22,12.32,11.76,12.08,325887.41
2023-01-18,001330.SZ,12.08,12.67,12.06,12.38,434130.81
2023-01-19,001330.SZ,12.17,12.56,11.98,12.38,357000.12
2023-01-20,001330.SZ,12.37,12.48,12.15,12.41,339496.6
2023-01-30,001330.SZ,12.01,12.01,11.33,11.52,536073.05
2023-01-31,001330.SZ,11.34,11.48,11.21,11.4,240930.78
2023-02-01,001330.SZ,11.39,11.44,11.23,11.44,198374.85
2023-02-02,001330.SZ,11.4,11.4,11.15,11.15,250802.09
2023-02-03,001330.SZ,11.1,11.1,10.9,10.95,184626.03
2023-02-06,001330.SZ,10.96,11.11,10.83,11.04,118304.74
2023-02-07,001330.SZ,11.07,11.07,10.67,10.69,229306.02
2023-02-08,001330.SZ,10.66,10.74,10.31,10.44,284284.6
2023-02-09,001330.SZ,10.36,10.5,10.33,10.49,131711.86
2023-02-10,001330.SZ,10.49,10.58,10.45,10.53,126139.24
2023-02-13,001330.SZ,10.55,10.68,10.52,10.67,135110.88
2023-02-14,001330.SZ,10.69,10.7,10.45,10.53,112544.16
2023-02-15,001330.SZ,10.53,10.57,10.38,10.42,116009.82
2023-02-16,001330.SZ,10.43,10.55,10.15,10.2,158508.27
2023-02-17,001330.SZ,10.18,10.29,10.04,10.05,150589.24
2023-02-20,001330.SZ,10.01,10.12,10.0,10.12,97783.73
2023-02-21,001330.SZ,10.11,10.15,10.0,10.11,92036.53
2023-02-22,001330.SZ,10.05,10.29,10.02,10.26,126959.2
2023-02-23,001330.SZ,10.21,10.28,10.1,10.12,84303.31
2023-02-24,001330.SZ,10.11,10.16,10.04,10.12,60677.9
2023-02-27,001330.SZ,10.11,10.12,9.99,10.01,76024.74
2023-02-28,001330.SZ,10.05,10.12,10.0,10.09,62208.26
2023-03-01,001330.SZ,10.09,10.21,10.08,10.19,85269.13
2023-03-02,001330.SZ,10.2,10.3,10.13,10.27,113593.1
2023-03-03,001330.SZ,10.28,10.38,10.23,10.35,109777.43
2023-03-06,001330.SZ,10.36,10.44,10.3,10.3,98918.9
2023-03-07,001330.SZ,10.3,10.3,10.05,10.05,91902.0
2023-03-08,001330.SZ,10.01,10.43,10.0,10.31,136155.26
2023-03-09,001330.SZ,10.28,10.53,10.18,10.29,143067.82
2023-03-10,001330.SZ,10.15,10.45,10.12,10.16,131573.46
2023-03-13,001330.SZ,10.03,10.16,9.68,9.95,172671.08
2023-03-14,001330.SZ,9.95,10.03,9.66,9.68,129031.52
2023-03-15,001330.SZ,9.74,10.0,9.74,9.86,110638.85
2023-03-16,001330.SZ,9.8,9.8,9.56,9.59,105097.74
2023-03-17,001330.SZ,9.72,9.86,9.67,9.78,104617.92
2023-03-20,001330.SZ,9.91,10.38,9.9,10.19,260063.67
2023-03-21,001330.SZ,10.1,10.39,10.08,10.35,189797.63
2023-03-22,001330.SZ,10.5,10.59,10.36,10.54,248804.39
2023-03-23,001330.SZ,10.43,10.62,10.39,10.46,162417.85
2023-03-24,001330.SZ,10.44,10.65,10.4,10.49,158820.58
2023-03-27,001330.SZ,10.42,10.53,10.3,10.41,150176.14
2023-03-28,001330.SZ,10.35,10.41,10.17,10.18,102238.21
2023-03-29,001330.SZ,10.21,10.33,10.05,10.15,92930.25
2023-03-30,001330.SZ,10.16,10.16,9.93,9.99,101131.64
2023-03-31,001330.SZ,10.05,10.61,9.98,10.58,314325.51
2023-04-03,001330.SZ,10.46,10.7,10.43,10.66,185528.27
2023-04-04,001330.SZ,10.61,10.8,10.25,10.35,211323.0
2023-04-06,001330.SZ,10.31,10.32,9.97,10.03,208629.27
2023-04-07,001330.SZ,10.03,10.6,9.99,10.38,225419.86
2023-04-10,001330.SZ,10.36,10.64,10.31,10.38,189182.89
2023-04-11,001330.SZ,10.32,11.26,10.32,10.99,553540.47
2023-04-12,001330.SZ,10.8,11.9,10.78,11.77,733314.69
2023-04-13,001330.SZ,11.98,12.53,11.79,11.84,870351.88
2023-04-14,001330.SZ,12.03,12.48,11.47,11.9,568522.91
2023-04-17,001330.SZ,11.57,11.63,11.23,11.29,365308.67
2023-04-18,001330.SZ,11.33,11.36,10.95,11.16,236222.64
2023-04-19,001330.SZ,11.16,11.91,11.16,11.49,337386.75
2023-04-20,001330.SZ,11.4,11.62,11.01,11.55,295423.13
2023-04-21,001330.SZ,11.45,11.46,10.67,10.7,313474.79
2023-04-24,001330.SZ,10.69,11.09,10.69,10.85,231658.93
2023-04-25,001330.SZ,10.85,10.95,10.2,10.53,252344.63
2023-04-26,001330.SZ,10.4,10.62,10.13,10.36,187283.64
2023-04-27,001330.SZ,10.35,10.49,9.99,10.06,223117.77
2023-04-28,001330.SZ,10.06,11.07,10.02,10.96,369878.29
2023-05-04,001330.SZ,10.5,10.74,9.95,10.55,512100.18
2023-05-05,001330.SZ,10.38,10.41,10.04,10.2,263344.63
2023-05-08,001330.SZ,10.07,10.23,9.72,9.96,240178.89
2023-05-09,001330.SZ,9.92,10.14,9.62,9.64,329452.97
2023-05-10,001330.SZ,9.59,9.78,9.33,9.44,221799.56
2023-05-11,001330.SZ,9.48,10.38,9.48,10.38,413078.61
2023-05-12,001330.SZ,10.35,10.38,9.75,9.78,359153.85
2023-05-15,001330.SZ,9.86,9.9,9.23,9.46,270373.4
2023-05-16,001330.SZ,9.44,9.49,9.25,9.26,152078.2
2023-05-17,001330.SZ,9.21,9.31,9.12,9.3,143020.96
2023-05-18,001330.SZ,9.26,9.32,9.16,9.27,100248.79
2023-05-19,001330.SZ,9.21,9.27,9.09,9.19,106427.06
2023-05-22,001330.SZ,9.21,9.27,9.16,9.23,79059.88
2023-05-23,001330.SZ,9.25,9.26,9.15,9.16,69196.79
2023-05-24,001330.SZ,9.24,9.28,9.13,9.18,91373.63
2023-05-25,001330.SZ,9.15,9.19,8.6,8.9,186583.19
2023-05-26,001330.SZ,8.94,9.08,8.79,9.01,94099.99
2023-05-29,001330.SZ,9.0,9.04,8.9,8.92,72248.53
2023-05-30,001330.SZ,8.93,9.06,8.78,9.06,88251.97
2023-05-31,001330.SZ,9.01,9.13,8.96,9.04,71412.1
2023-06-01,001330.SZ,9.05,9.36,9.0,9.31,179184.7
2023-06-02,001330.SZ,9.25,9.51,9.17,9.35,165372.0
2023-06-05,001330.SZ,9.28,9.67,9.28,9.58,227028.12
2023-06-06,001330.SZ,9.57,9.7,9.21,9.26,187455.2
2023-06-07,001330.SZ,9.26,9.69,9.13,9.66,266935.77
2023-06-08,001330.SZ,9.65,9.65,9.22,9.3,181997.14
2023-06-09,001330.SZ,9.26,9.44,9.12,9.34,135340.9
2023-06-12,001330.SZ,9.5,10.25,9.5,9.99,448304.23
2023-06-13,001330.SZ,10.01,10.06,9.88,10.0,211340.1
2023-06-14,001330.SZ,10.01,10.19,9.78,9.88,188403.84
